playerId,periodType,period,date,teamId,opponentId,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,decision,savePercentage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,evenStrengthSavePercentage,win
8474563,singleSeason,20192020,,,,1730.18,28,7,36,141,67,106,5,14,208.52,1380.33,36,0.0,2,2,0,1,141.33,87,-16,35,1831,,,,,,,,,,,,,,,,,,,,
8475246,singleSeason,20192020,,,,62.0,0,0,0,4,4,6,0,0,0.42,56.77,0,0.0,0,0,0,0,4.82,6,-2,0,83,,,,,,,,,,,,,,,,,,,,
8475660,singleSeason,20192020,,,,1434.65,,,,,26,,,,,,,,,,,,,,,,,1,2,0,12,10,717,79,7,631,8,683,89,,0.919,22,780,63,88.76404494382022,92.3865300146413,
8476391,singleSeason,20192020,,,,135.58,1,0,2,7,16,7,0,0,8.52,127.07,2,16.66,0,0,0,0,0.0,3,-1,1,195,,,,,,,,,,,,,,,,,,,,
8476479,singleSeason,20192020,,,,1337.93,34,13,32,131,71,119,1,4,111.05,1048.68,32,54.49,1,0,0,0,178.2,37,18,47,1814,,,,,,,,,,,,,,,,,,,,
8477463,singleSeason,20192020,,,,19.1,0,0,2,1,2,3,0,0,0.0,18.52,2,0.0,0,0,0,0,0.58,0,1,0,33,,,,,,,,,,,,,,,,,,,,
8477942,singleSeason,20192020,,,,985.65,31,23,42,175,64,25,9,18,152.43,831.37,42,22.22,4,1,0,0,1.85,18,-1,54,1180,,,,,,,,,,,,,,,,,,,,
8477960,singleSeason,20192020,,,,1104.83,21,11,29,148,69,71,2,10,171.72,870.57,29,41.25,2,1,2,4,62.55,17,-10,32,1497,,,,,,,,,,,,,,,,,,,,
8477971,singleSeason,20192020,,,,261.75,3,0,12,10,24,58,0,0,0.7,234.92,12,0.0,0,0,0,0,26.13,16,-8,3,375,,,,,,,,,,,,,,,,,,,,
8478042,singleSeason,20192020,,,,923.52,13,15,26,127,57,27,4,8,140.72,749.58,26,57.89,1,0,0,0,33.22,24,-4,28,1152,,,,,,,,,,,,,,,,,,,,
8478176,singleSeason,20192020,,,,109.65,2,0,2,6,6,14,0,0,4.9,95.55,2,0.0,0,0,0,0,9.2,13,-5,2,141,,,,,,,,,,,,,,,,,,,,
8478882,singleSeason,20192020,,,,1309.57,13,5,18,81,69,79,0,0,4.05,1203.3,18,0.0,1,0,0,0,102.22,92,1,18,1670,,,,,,,,,,,,,,,,,,,,
8478911,singleSeason,20192020,,,,1267.98,14,4,10,112,70,132,0,1,2.85,1166.27,10,0.0,0,0,0,0,98.87,100,16,18,1573,,,,,,,,,,,,,,,,,,,,
8479336,singleSeason,20192020,,,,165.93,4,0,8,16,13,29,0,0,5.68,160.25,8,0.0,0,0,0,0,0.0,4,2,4,229,,,,,,,,,,,,,,,,,,,,
8479400,singleSeason,20192020,,,,1255.23,31,18,49,158,70,85,1,10,187.02,1061.08,49,44.59,4,2,0,0,7.13,50,-2,49,1532,,,,,,,,,,,,,,,,,,,,
8479496,singleSeason,20192020,,,,2791.97,,,,,48,,,,,,,,,,,,,,,,,6,2,0,24,17,1340,187,40,1113,47,1219,212,,0.907,48,1478,138,88.20754716981132,91.30434782608695,
8479675,singleSeason,20192020,,,,541.72,4,6,6,60,42,60,0,0,29.42,457.82,6,28.57,0,0,0,1,54.48,17,-4,10,807,,,,,,,,,,,,,,,,,,,,
8479994,singleSeason,20192020,,,,41.03,0,0,0,2,4,3,0,0,0.82,40.22,0,38.46,0,0,0,0,0.0,0,-1,0,57,,,,,,,,,,,,,,,,,,,,
8479998,singleSeason,20192020,,,,108.87,0,1,0,9,6,10,0,0,0.0,100.2,0,0.0,1,0,0,0,8.67,10,4,1,127,,,,,,,,,,,,,,,,,,,,
8481481,singleSeason,20192020,,,,907.4,17,6,20,87,65,42,2,3,66.63,768.87,20,50.16,0,0,2,3,71.9,22,-4,23,1326,,,,,,,,,,,,,,,,,,,,
8481600,singleSeason,20192020,,,,38.92,0,0,0,0,3,0,0,0,0.0,35.93,0,0.0,0,0,0,0,2.98,0,-4,0,58,,,,,,,,,,,,,,,,,,,,
8479316,singleSeason,20192020,,,,974.33,16,15,55,128,63,64,0,2,50.18,836.88,55,44.49,1,0,1,1,87.27,54,-10,31,1272,,,,,,,,,,,,,,,,,,,,
8471709,singleSeason,20192020,,,,1420.63,10,5,10,74,70,37,0,0,18.67,1206.07,10,0.0,1,0,1,1,195.9,97,-10,15,1803,,,,,,,,,,,,,,,,,,,,
8474053,singleSeason,20192020,,,,963.43,23,16,18,126,52,54,0,9,143.08,732.42,18,44.01,3,3,0,2,87.93,45,0,39,1219,,,,,,,,,,,,,,,,,,,,
8474884,singleSeason,20192020,,,,1161.8,30,29,28,214,69,33,11,21,252.38,907.78,28,46.66,3,0,0,0,1.63,22,-5,59,1357,,,,,,,,,,,,,,,,,,,,
8475798,singleSeason,20192020,,,,1121.55,13,17,28,130,63,42,4,6,154.13,918.23,28,48.66,4,2,1,1,49.18,55,-4,30,1362,,,,,,,,,,,,,,,,,,,,
8476881,singleSeason,20192020,,,,885.37,20,16,16,117,48,29,2,7,124.02,691.78,16,54.81,1,0,2,2,69.57,25,-18,36,1123,,,,,,,,,,,,,,,,,,,,
8476988,singleSeason,20192020,,,,568.77,7,1,15,38,43,78,0,0,0.17,541.18,15,0.0,0,0,0,0,27.42,34,8,8,778,,,,,,,,,,,,,,,,,,,,
8477149,singleSeason,20192020,,,,245.5,4,2,33,29,35,74,0,0,0.08,245.42,33,0.0,0,0,0,0,0.0,13,-6,6,373,,,,,,,,,,,,,,,,,,,,
8477407,singleSeason,20192020,,,,1073.22,17,23,18,184,66,53,5,8,169.83,841.83,18,50.0,2,2,2,2,61.55,39,-5,40,1542,,,,,,,,,,,,,,,,,,,,
8477846,singleSeason,20192020,,,,971.07,12,3,28,80,69,117,0,0,16.4,788.57,28,43.11,0,0,1,3,166.1,48,-6,15,1339,,,,,,,,,,,,,,,,,,,,
8478039,singleSeason,20192020,,,,304.2,,,,,5,,,,,,,,,,,,,,,,,1,0,0,3,1,157,12,4,141,4,151,17,,0.913,5,172,15,70.58823529411765,93.37748344370861,
8478067,singleSeason,20192020,,,,528.25,7,11,4,72,30,31,3,4,67.5,416.65,4,40.62,0,0,0,0,44.1,16,4,18,763,,,,,,,,,,,,,,,,,,,,
8478099,singleSeason,20192020,,,,1124.9,19,14,38,176,70,46,3,9,169.0,953.33,38,16.66,3,0,0,0,2.57,24,-33,33,1395,,,,,,,,,,,,,,,,,,,,
8478406,singleSeason,20192020,,,,2684.02,,,,,47,,,,,,,,,,,,,,,,,8,3,0,22,14,1328,160,36,1132,42,1225,185,,0.915,43,1452,124,86.48648648648648,92.40816326530611,
8479379,singleSeason,20192020,,,,203.33,1,2,9,22,21,42,0,0,28.03,175.3,9,0.0,0,0,0,0,0.0,3,-2,3,259,,,,,,,,,,,,,,,,,,,,
8479983,singleSeason,20192020,,,,969.13,9,2,30,63,61,120,0,0,18.82,904.15,30,0.0,0,0,0,1,46.17,58,-15,11,1253,,,,,,,,,,,,,,,,,,,,
8480160,singleSeason,20192020,,,,824.63,7,2,14,40,48,91,0,0,1.9,741.68,14,0.0,0,0,0,0,81.05,60,-13,9,1098,,,,,,,,,,,,,,,,,,,,
8480172,singleSeason,20192020,,,,512.88,6,1,14,43,33,19,0,0,1.37,457.57,14,0.0,0,0,0,0,53.95,21,6,7,653,,,,,,,,,,,,,,,,,,,,
