firstName,lastName,primaryPosition,position,team,injured,fpts,rnk,pos_rnk
Taylor,Raddysh,R,RW,,,200.9,218,32
Ryan,Suter,D,D,,,216.4,219,42
Ivan,Barbashev,C,"C,LW",,,193.0,220,70
Ryan,O'Reilly,C,C,,,188.7,221,74
Yanni,Gourde,C,C,,,200.5,222,61
Andre,Burakovsky,L,"LW,RW",,,185.8,223,43
Nikolaj,Ehlers,L,LW,,,182.6,224,47
Tyler,Myers,D,D,,,209.6,225,55
Erik,Haula,L,LW,,,198.1,226,33
Jonas,Brodin,D,D,,,189.9,227,89
Adam,Henrique,C,"C,LW",,,186.0,228,81
Chris,Tanev,D,D,,,204.3,229,69
David,Savard,D,D,,,197.0,230,73
Alexander,Barabanov,L,L,,,148.8,231,70
Scott,Mayfield,D,D,,,193.5,232,80
Alex,Iafallo,L,LW,,,193.7,233,35
Kirill,Marchenko,R,RW,,,184.6,234,39
Tyler,Seguin,C,"C,RW",,,185.4,235,83
Matty,Beniers,C,C,,,178.2,236,98
Connor,Murphy,D,D,,,191.2,237,78
Alexis,Lafrenière,L,LW,,,190.1,238,36
Conor,Sheary,L,LW,,,188.6,239,39
Erik,Gustafsson,D,D,,,143.9,240,152
Evan,Rodrigues,C,"C,LW",,,187.9,241,71
Kevin,Hayes,R,C,,,188.4,242,30
Gustav,Nyquist,C,LW,,,186.7,243,71
Mike,Matheson,D,D,,,172.8,244,108
Teuvo,Teravainen,L,"LW,RW",,,179.8,245,46
Vladislav,Gavrikov,D,D,,,185.3,246,88
Josh,Anderson,R,RW,,,178.7,247,40
Trevor,Moore,L,LW,,,178.1,248,48
Dillon,Dube,C,"C,RW",,,183.3,249,85
Calvin,de Haan,D,D,,,131.1,250,159
Brian,Dumoulin,D,D,,,192.8,251,70
Yegor,Sharangovich,C,C,,,185.0,252,73
Cole,Caufield,R,"LW,RW",,,161.6,253,48
Eeli,Tolvanen,R,RW,,,180.4,254,37
Justin,Schultz,D,D,,,183.7,255,83
Mike,Hoffman,C,LW,,,184.8,256,79
Alex,Wennberg,C,C,,,185.6,257,67
Adam,Pelech,D,D,,,177.4,258,97
Cody,Ceci,D,D,,,185.4,259,76
T.J.,Oshie,R,RW,,,170.3,260,41
Marcus,Johansson,L,LW,,,183.4,261,41
Tomas,Tatar,L,"LW,RW",,,181.3,262,42
Jake,Middleton,D,D,,,124.3,263,168
Brandon,Saad,L,LW,,,173.5,264,50
Ross,Colton,C,"C,LW",,,172.0,265,95
Jake,Sanderson,D,D,,,163.2,265,120
Jesperi,Kotkaniemi,C,C,,,177.8,267,84
Anthony,Cirelli,C,C,,,170.5,268,93
James,van Riemsdyk,L,LW,,,177.5,269,44
Ondrej,Palat,L,LW,,,177.0,270,45
Michael,Bunting,L,LW,,,166.4,271,54
Nate,Schmidt,D,D,,,181.5,272,79
Ryan,Strome,C,"LW,RW",,,179.3,273,81
Jake,McCabe,D,D,,,176.9,274,92
Alex,Kerfoot,C,C,,,182.4,275,74
Adam,Lowry,C,C,,,181.4,276,74
Travis,Hamonic,D,D,,,172.6,277,92
Filip,Chytil,C,C,,,167.9,278,96
Justin,Holl,D,D,,,178.6,278,77
Max,Domi,C,"C,LW",,,166.0,280,99
Eetu,Luostarinen,C,"C,LW",,,171.2,281,88
Barrett,Hayton,C,C,,,161.5,281,103
Frederick,Gaudreau,C,C,,,169.2,283,90
Jamie,Oleksiak,D,D,,,170.2,284,91
Ian,Cole,D,D,,,170.0,285,94
Garnet,Hathaway,R,RW,,,176.5,286,36
Jason,Zucker,L,LW,,,162.5,287,49
Braden,Schneider,D,D,,,178.0,288,75
Mikey,Anderson,D,D,,,165.2,288,99
Nicolas,Hague,D,D,,,167.2,290,96
Brenden,Dillon,D,D,,,171.4,291,87
Daniel,Sprong,R,RW,,,158.2,292,44
TJ,Brodie,D,D,,,164.0,292,103
Simon,Benoit,D,D,,,106.6,294,180
Colton,Sissons,C,C,,,168.1,295,87
Alexandre,Carrier,D,D,,,104.9,296,183
Casey,Mittelstadt,C,C,,,152.8,297,109
Matt,Dumba,D,D,,,160.5,298,112
Mark,Stone,R,RW,,,145.9,299,55
Dante,Fabbro,D,D,,,164.5,299,97
Tommy,Novak,C,C,,,104.3,301,179
Nicolas,Roy,C,C,,,160.6,302,101
Evander,Kane,L,LW,,,150.7,303,56
Nick,Bonino,C,C,,,176.8,304,77
Trevor,van Riemsdyk,D,D,,,160.3,305,111
Austin,Watson,L,L,,,101.9,306,90
Nick,Perbix,D,D,,,161.0,307,107
Sam,Gagner,C,C,,,101.7,308,182
Tony,DeAngelo,D,D,,,168.7,309,86
Brandon,Carlo,D,D,,,163.3,310,101
Christian,Dvorak,C,C,,Nov 2,155.3,311,105
Jonas,Siegenthaler,D,D,,,153.2,311,122
Ryan,Johansen,C,C,,,156.1,313,104
Alexey,Toropchenko,R,R,,,95.5,314,77
Oskar,Sundqvist,C,C,,,95.5,314,185
Will,Borgen,D,D,,,95.0,316,190
Kirby,Dach,C,C,,,147.4,317,118
Pius,Suter,C,C,,,164.3,318,88
Jacob,Bryson,D,D,,,93.5,319,193
Tom,Wilson,R,RW,,,140.9,320,56
Marcus,Pettersson,D,D,,,150.7,321,124
Kyle,Okposo,R,RW,,,165.0,322,35
Dmitry,Kulikov,D,D,,,160.2,323,104
Mason,McTavish,C,"C,LW",,,136.4,324,133
Tanner,Jeannot,L,LW,,,146.3,325,58
Cole,Sillinger,C,C,,,160.7,326,91
Kasperi,Kapanen,R,RW,,,152.4,327,44
Ryan,Lindgren,D,D,,,153.3,328,114
Erik,Johnson,D,D,,,154.7,329,113
Erik,Gudbranson,D,D,,,158.3,330,106
Nick,Seeler,D,D,,,148.9,331,128
Luke,Schenn,D,D,,,157.1,332,108
Marc-Edouard,Vlasic,D,D,,,155.0,333,110
Tyler,Bertuzzi,L,LW,,,135.4,334,64
Barclay,Goodrow,C,C,,,157.6,335,94
Matt,Grzelcyk,D,D,,,151.5,335,117
Connor,Clifton,D,D,,,148.0,337,124
Erik,Cernak,D,D,,,146.7,338,131
Nikita,Zadorov,D,D,,,152.3,339,115
Zach,Whitecloud,D,D,,,148.4,339,123
Yakov,Trenin,C,C,,,152.8,341,100
Nick,Leddy,D,D,,,159.4,342,99
Owen,Power,D,D,,,133.4,343,146
Kyle,Palmieri,C,RW,,,144.5,344,120
Zach,Werenski,D,D,,,123.2,345,166
Marc,Staal,D,D,,,158.0,346,102
Michael,Pezzetta,L,L,,,75.5,347,99
Calle,Jarnkrok,C,"C,LW",,,147.7,348,112
John,Marino,D,D,,,146.2,349,124
Tanner,Pearson,L,L,,,75.3,350,100
Kaapo,Kakko,R,RW,,,140.6,351,53
Brett,Kulak,D,D,,,149.8,352,116
Noah,Cates,L,"C,LW",,,138.5,353,56
Kailer,Yamamoto,R,RW,,,149.5,354,44
Nic,Dowd,C,C,,,149.3,355,106
Jason,Dickinson,C,C,,,146.5,355,110
Corey,Perry,R,RW,,,150.4,357,42
Michael,Rasmussen,C,C,,,141.5,357,114
Andreas,Athanasiou,C,C,,,135.3,359,124
Lars,Eller,C,C,,,150.9,360,101
Jaden,Schwartz,C,"C,LW",,,135.8,361,123
Jakob,Silfverberg,R,RW,,,145.4,362,49
Josh,Norris,C,C,,,121.6,362,149
Trevor,Lewis,C,C,,,162.7,364,78
Carson,Soucy,D,D,,,137.2,365,136
Matt,Benning,D,D,,,136.1,366,137
Rasmus,Sandin,D,D,,,139.0,367,134
Jake,Muzzin,D,D,,,69.8,368,203
Chris,Tierney,C,C,,,68.3,369,188
Morgan,Frost,C,C,,,131.9,370,129
Craig,Smith,C,C,,,151.1,371,97
Julien,Gauthier,R,R,,,64.8,372,85
Travis,Boyd,C,C,,,152.6,373,92
Radek,Faksa,C,C,,,146.8,373,107
Simon,Holmstrom,R,R,,,64.5,375,87
Warren,Foegele,L,LW,,,140.7,376,53
Pat,Maroon,L,L,,,61.2,377,106
Alex,Newhook,C,C,,,136.5,378,117
Kaiden,Guhle,D,D,,,125.5,379,149
Alex,Goligoski,D,D,,,145.8,380,121
Ilya,Mikheyev,R,RW,,,123.2,381,59
Jake,Walman,D,D,,,123.4,382,151
Cal,Foote,D,D,,,59.9,383,204
Jesper,Fast,R,RW,,,144.9,384,47
MacKenzie,Entwistle,R,R,,,59.1,384,88
Oliver,Ekman-Larsson,D,D,,,146.0,386,118
Brandon,Tanev,L,LW,,,133.8,387,60
Nico,Sturm,C,C,,,136.7,388,115
Derek,Forbort,D,D,,,138.8,389,129
Pierre,Engvall,L,LW,,,131.7,390,61
Gabriel,Vilardi,C,C,,,122.6,391,142
Devin,Shore,C,C,,,53.2,392,189
Justin,Barron,D,D,,,50.9,393,206
Olli,Maatta,D,D,,,145.4,394,119
Sean,Kuraly,C,C,,,139.9,395,108
Casey,Cizikas,C,C,,,137.3,396,111
Nicklas,Backstrom,C,C,,,123.2,397,135
Philipp,Kurashev,C,C,,,128.4,398,126
Dryden,Hunt,L,L,,,47.0,399,108
Mason,Marchment,L,LW,,,123.8,400,67
Reese,Johnson,C,C,,,43.7,401,190
Logan,O'Connor,R,RW,,,129.9,402,51
Philip,Tomasino,C,C,,,122.7,403,136
Brendan,Lemieux,L,L,,,41.8,404,110
Nick,Bjugstad,C,C,,,132.9,405,121
Liam,Foudy,C,C,,,41.5,406,191
Ryan,Donato,C,C,,,127.5,407,125
Travis,Dermott,D,D,,,37.7,408,208
Marcus,Foligno,L,LW,,,126.8,409,63
William,Carrier,L,LW,,,123.2,410,68
Kevin,Stenlund,C,C,,,35.8,411,192
Drew,O'Connor,L,L,,,35.8,411,111
Zemgus,Girgensons,L,LW,,,133.9,413,52
Jack,Studnicka,C,C,,,35.4,414,193
Vladislav,Namestnikov,C,C,,,135.1,415,115
Artem,Zub,D,D,,,126.5,416,135
Jimmy,Vesey,L,LW,,,132.1,417,55
Ian,Mitchell,D,D,,,33.8,418,209
Jesse,Ylönen,R,R,,,33.6,419,89
Arthur,Kaliyev,R,RW,,,126.0,420,53
Tucker,Poolman,D,D,,,33.1,421,210
Matias,Maccelli,L,LW,,,108.8,422,79
Danton,Heinen,L,LW,,,129.1,423,59
Alexander,Alexeyev,D,D,,,32.8,424,211
Adam,Boqvist,D,D,,,123.1,425,142
Justin,Danforth,R,R,,,32.1,426,90
David,Kampf,C,C,,,128.7,427,119
Nikolai,Knyzhov,D,D,,,31.2,428,212
Tyler,Tucker,D,D,,,30.4,429,213
Kurtis,MacDermid,D,D,,,30.4,429,213
Jon,Merrill,D,D,,,127.7,431,133
Michael,McLeod,C,C,,,125.9,432,122
Connor,McMichael,C,C,,,29.6,433,194
Luke,Glendening,C,C,,,133.6,434,113
Timothy,Liljegren,D,D,,,113.6,435,153
Ilya,Lyubushkin,D,D,,,128.9,436,129
Mark,Friedman,D,D,,,24.9,437,215
Anthony,Duclair,L,LW,,,107.2,438,78
Noel,Acciari,C,C,,,122.5,439,130
Jordan,Spence,D,D,,,24.6,440,216
Trent,Frederic,C,"C,RW",,,116.6,441,150
Dominic,Toninato,C,C,,,24.1,442,195
Juuso,Valimaki,D,D,,,108.0,443,158
Jordan,Martinook,L,LW,,,119.1,444,74
Anthony,Mantha,R,RW,,,116.5,445,61
Liam,O'Brien,C,C,,,20.9,446,196
Tyler,Motte,C,LW,,,121.8,447,137
Brock,McGinn,L,LW,,,122.1,448,66
Austin,Czarnik,C,C,,,17.4,449,197
Christian,Fischer,R,RW,,,126.4,450,50
Dennis,Gilbert,D,D,,,16.1,451,217
Jonas,Rondbjerg,R,R,,,15.9,452,91
Jack,Johnson,D,D,,,126.8,453,131
Sebastian,Aho,D,C,,,77.5,454,198
Joel,Edmundson,D,D,,,115.6,455,147
Alexander,Holtz,R,R,,,14.9,456,92
Noah,Gregor,C,C,,,120.7,457,134
Vinni,Lettieri,C,C,,,14.8,458,198
Juuso,Parssinen,C,C,,,112.2,459,146
Connor,Mackey,D,D,,,14.4,460,218
Morgan,Geekie,C,C,,,106.7,461,154
Darren,Raddysh,D,D,,,14.2,462,219
Erik,Brannstrom,D,D,,,116.0,463,143
Jonah,Gadjovich,L,L,,,13.1,464,112
William,Lockwood,R,R,,,12.0,465,93
Jordan,Greenway,L,LW,,,119.3,466,71
Blake,Lizotte,C,C,,,118.0,467,141
Guillaume,Brisebois,D,D,,,11.7,468,220
Noah,Juulsen,D,D,,,11.5,469,221
Beck,Malenstyn,L,L,,,11.4,470,113
Jonny,Brodzinski,C,C,,,11.1,471,199
Colin,Miller,D,D,,,117.5,472,139
Nick,Foligno,L,LW,,,121.1,473,65
Alex,Barré-Boulet,C,C,,,8.7,474,200
Radim,Zohorna,L,L,,,8.7,474,114
Oliver,Wahlstrom,R,RW,,,109.1,476,63
Parker,Wotherspoon,D,D,,,4.6,477,222
Rourke,Chartier,C,C,,,4.5,478,201
Mathieu,Joseph,R,RW,,,112.4,479,57
Nick,Cousins,C,C,,,119.2,479,132
Nick,DeSimone,D,D,,,2.6,481,223
Max,Lajoie,D,D,,,2.2,482,224
Dakota,Mermis,D,D,,,1.9,483,225
Andrew,Cogliano,C,C,,,120.4,484,128
Tyler,Johnson,C,C,,,104.1,484,155
Keegan,Kolesar,R,RW,,,118.1,486,52
Derek,Ryan,C,C,,,120.4,487,127
Nikita,Zaitsev,D,D,,,115.8,488,141
Matt,Martin,L,LW,,,121.2,489,61
Tyson,Jost,C,C,,,118.1,490,131
Jeremy,Lauzon,D,D,,,116.5,491,137
Kevin,Labanc,R,RW,,,102.2,492,68
Teddy,Blueger,C,C,,,110.2,493,145
Max,Pacioretty,L,LW,,Nov 2,91.7,494,81
Mattias,Janmark,C,C,,,111.9,495,143
Filip,Zadina,R,RW,,,105.4,496,62
Cody,Glass,C,C,,,84.8,497,174
Matt,Nieto,L,LW,,,111.1,497,73
Mattias,Samuelsson,D,D,,,99.5,499,160
Luke,Kunin,C,C,,,96.5,500,161
Jan,Rutta,D,D,,,105.1,501,148
Bowen,Byram,D,D,,,90.3,502,173
Jack,McBain,C,C,,,112.2,503,137
Sean,Monahan,C,C,,,90.7,504,164
Jakub,Vrana,L,LW,,,74.1,505,97
Steven,Lorentz,C,C,,,110.6,506,139
Milan,Lucic,L,LW,,,111.9,507,68
Henri,Jokiharju,D,D,,,109.9,508,140
Nathan,Bastian,R,RW,,,99.7,509,65
Carl,Grundstrom,R,RW,,,104.2,510,59
Jordan,Harris,D,D,,,92.4,511,165
Cole,Perfetti,C,C,,,82.9,512,172
Pierre-Edouard,Bellemare,L,LW,,,109.2,513,71
Ryan,Poehling,C,C,,,105.1,514,147
Sam,Lafferty,C,C,,,101.0,515,153
Sean,Walker,D,D,,,91.7,516,164
Troy,Stecher,D,D,,,94.4,517,155
Jake,Evans,C,C,,,101.0,518,152
Niko,Mikkola,D,D,,,103.3,519,145
Cam,York,D,D,,,75.6,519,189
Joe,Veleno,C,C,,,107.5,521,140
Cal,Clutterbuck,R,RW,,,103.3,522,58
Brendan,Gallagher,R,RW,,,82.6,523,72
Nils,Lundkvist,D,D,,,99.6,524,150
Sonny,Milano,L,LW,,,94.4,525,76
Jamie,Drysdale,D,D,,,74.0,525,193
Sam,Steel,C,C,,,101.8,527,148
Jaycob,Megna,D,D,,,100.4,528,144
Rafael,Harvey-Pinard,L,LW,,,63.7,529,94
Miles,Wood,L,LW,,,81.4,530,84
JJ,Peterka,R,RW,,,79.3,531,73
Connor,Brown,R,RW,,,75.1,532,76
Jonathan,Drouin,L,LW,,,83.8,533,82
Josh,Brown,D,D,,,90.2,534,161
Curtis,Lazar,C,C,,,102.9,535,144
Connor,Dewar,C,C,,,97.0,536,151
Arber,Xhekaj,D,D,,,92.6,537,153
Mason,Appleton,C,C,,,87.5,538,158
Robby,Fabbri,C,C,,,83.8,539,160
Michael,Amadio,R,C,,,90.0,540,64
Tomas,Nosek,L,LW,,,91.3,541,77
Joel,Armia,R,RW,,,83.8,542,69
Ryan,McLeod,C,C,,,81.3,543,166
Robert,Hagg,D,D,,,80.7,544,167
Zach,Sanford,L,LW,,,80.3,545,83
Brandon,Duhaime,R,RW,,,88.0,546,67
Dylan,Samberg,D,D,,,76.7,546,172
Yegor,Chinakhov,R,RW,,,75.6,548,71
Fabian,Zetterlund,L,LW,,,80.0,549,87
Josh,Mahura,D,D,,,82.1,550,163
Chad,Ruhwedel,D,D,,,86.9,551,156
Stefan,Noesen,R,"LW,RW",,,69.2,552,74
Nicolas,Deslauriers,L,LW,,,89.0,553,75
Lukas,Reichel,L,LW,,,36.9,554,107
Calen,Addison,D,D,,,71.1,555,181
Quinton,Byfield,R,C,,,53.8,556,81
Johnathan,Kovacevic,D,D,,,77.8,556,169
Jake,Bean,D,D,,,71.3,558,178
Peyton,Krebs,C,C,,,83.0,559,156
Sammy,Blais,L,LW,,,74.9,560,88
Ryan,Lomberg,L,LW,,,77.4,561,85
Ryan,Reaves,R,RW,,,84.8,562,66
